C5,C4,C3,C2,C1,C0,A0
0.004046666666666666,0.00242,0.006173333333333334,0.00749,0.006293333333333333,0.00324,0.0009166666666666666
0.0029933333333333335,0.006486666666666667,0.00011333333333333333,5.333333333333333e-05,3.6666666666666666e-05,,
0.0044533333333333334,0.00035,0.0001,1.6666666666666667e-05,,,
0.00203,0.00502,0.0056,0.005266666666666667,,,
0.004263333333333333,0.015186666666666666,0.002276666666666667,,,,
0.0032933333333333334,0.014113333333333334,0.0005933333333333333,,,,
0.011586666666666667,0.027796666666666667,0.0013966666666666667,,,,
0.00849,0.022346666666666667,0.00457,,,,
0.00356,0.034493333333333334,,,,,
0.020383333333333333,0.06018,,,,,
0.008066666666666666,0.07392333333333333,,,,,
0.00042666666666666667,0.00261,,,,,
0.02105,0.006836666666666666,,,,,
0.042543333333333336,0.0746,,,,,
0.03827333333333333,0.03473333333333333,,,,,
0.055253333333333335,0.16749666666666665,,,,,
0.0030033333333333335,,,,,,
0.05297333333333333,,,,,,
0.0786,,,,,,
0.017446666666666666,,,,,,
0.09746333333333333,,,,,,
0.02,,,,,,
0.09095333333333333,,,,,,
0.00284,,,,,,
0.02184,,,,,,
0.08657666666666666,,,,,,
0.08085666666666666,,,,,,
0.07497666666666666,,,,,,
0.10827,,,,,,
0.00129,,,,,,
0.19143666666666667,,,,,,
0.11179,,,,,,
