C5,C4,C3,C2,C1,C0,A0
-0.38334466688739427,-0.7898834870060807,0.16026625239976475,-0.802650972974623,0.11179968739658612,1.1440865523821573,2.2987782896689226
0.4550651030616377,-0.5531316803819852,4.3297773150155745,5.293965707940835,4.32992600132911,,
-0.2118511240506664,2.6864297164127344,-3.2527706834553025,5.5743880327896616,,,
-1.4334728545700952,-1.205560869827241,1.6106461480342533,2.1881474545810216,,,
1.066574637058466,-0.0928339467044125,2.306915514937997,,,,
1.533770090283289,0.8923578244157292,-2.8686339324058348,,,,
0.5618920562413116,0.2510589954683041,2.738588641208422,,,,
1.099071979743418,-0.821518179086751,2.478039045667878,,,,
1.8107513887789992,-0.7835271685821739,,,,,
-0.4702380580013799,0.422641130447761,,,,,
1.6892778413588816,0.0,,,,,
2.855802349522969,-2.6748446696555166,,,,,
1.1774066005670751,2.2715160794306435,,,,,
-0.056946735865349124,1.1036461898555208,,,,,
-0.7023679133852435,-1.4857856939137388,,,,,
0.3634636304031875,0.2806198210615738,,,,,
-2.4332625700997155,,,,,,
0.7423118197618962,,,,,,
0.0,,,,,,
1.736258011716362,,,,,,
0.0,,,,,,
-1.7905033199951996,,,,,,
-0.6751921712373119,,,,,,
-2.658807620360979,,,,,,
-1.8777265466576802,,,,,,
1.046467987485955,,,,,,
1.3174332992651168,,,,,,
1.2914480569385178,,,,,,
-1.0882344096540733,,,,,,
-3.0492048412410813,,,,,,
-0.7234757860723007,,,,,,
1.0990232548928676,,,,,,
